concurrency,num_prompts,duration_s,out_tok_s,total_tok_s,req_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_itl_ms
1,32,240.21,34.1,102.3,0.133,70.9,71.6,76.3,29.2,29.2
2,32,143.92,56.9,170.8,0.222,130.6,143.8,165.7,34.8,34.8
4,32,95.66,85.6,256.9,0.335,197.3,218.6,229.8,46.1,46.1
8,32,67.76,120.9,362.7,0.472,230.7,238.1,256.0,65.5,65.5
16,48,73.06,168.2,504.6,0.657,304.0,348.7,355.2,94.3,94.3
32,96,105.18,233.7,701.0,0.913,1132.4,631.2,3482.9,132.9,132.9
48,144,129.19,285.3,856.0,1.115,1446.9,557.9,4777.2,163.1,163.1
64,192,145.21,338.5,1015.5,1.322,1358.8,623.9,5061.4,184.2,184.2
96,288,174.33,422.9,1268.8,1.652,2395.6,862.1,9381.1,218.0,218.0
128,384,196.96,499.1,1497.3,1.95,2130.7,960.9,9965.3,248.3,248.3
192,384,143.99,682.7,2048.1,2.667,1035.0,1025.7,1339.7,277.9,277.9
256,384,138.67,708.9,2126.7,2.769,1119.7,1487.8,1495.3,276.8,276.8
