doc_id,empty_content,score,response_chars
0,0,1.0,1480
1,0,0.0,112994
2,0,1.0,1337
3,0,0.0,140237
4,0,0.0,2086
5,0,1.0,1532
6,0,0.0,1246
7,0,1.0,124085
8,0,1.0,142659
9,0,1.0,1395
10,0,1.0,17
11,0,1.0,17
12,0,0.0,135474
13,0,0.0,17
14,0,1.0,940
15,0,0.0,111974
16,0,1.0,982
17,0,0.0,1308
18,0,0.0,120560
19,0,1.0,886
20,0,0.0,123305
21,0,0.0,17
22,0,0.0,90209
23,0,0.0,1318
24,0,0.0,113784
25,0,0.0,115316
26,0,1.0,579
27,0,0.0,126380
28,0,0.0,110859
29,0,0.0,114891
30,0,0.0,119249
31,0,0.0,72875
32,0,0.0,111780
33,0,0.0,128442
34,0,1.0,871
35,0,0.0,131281
36,0,0.0,125674
37,0,0.0,109724
38,0,1.0,1249
39,0,1.0,871
40,0,1.0,1078
41,0,1.0,1481
42,0,0.0,116166
43,0,1.0,17
44,0,0.0,100780
45,0,0.0,124802
46,0,1.0,17
47,0,0.0,105955
48,0,0.0,99879
49,0,1.0,17
50,0,1.0,879
51,0,1.0,17
52,0,0.0,107211
53,0,0.0,103603
54,0,0.0,118508
55,0,0.0,106569
56,0,1.0,1376
57,0,0.0,172139
58,0,0.0,1384
59,0,1.0,991
60,0,1.0,17
61,0,0.0,102516
62,0,1.0,67342
63,0,1.0,90848
64,0,0.0,123730
65,0,1.0,17
66,0,1.0,17
67,0,0.0,1552
68,0,0.0,95939
69,0,0.0,142636
70,0,1.0,1304
71,0,0.0,133774
72,0,1.0,17
73,0,1.0,1130
74,0,1.0,17
75,0,0.0,132052
76,0,0.0,92216
77,0,1.0,1123
78,0,0.0,107126
79,0,0.0,85430
80,0,0.0,111923
81,0,0.0,17
82,0,1.0,17
83,0,1.0,582
84,0,1.0,1346
85,0,0.0,121249
86,0,1.0,1012
87,0,1.0,17
88,0,0.0,140989
89,0,0.0,89548
90,0,0.0,117045
91,0,0.0,109658
92,0,0.0,17
93,0,0.0,95049
94,0,0.0,98241
95,0,1.0,1542
96,0,1.0,17
97,0,0.0,113329
98,0,0.0,99549
99,0,0.0,116707
100,0,1.0,1735
101,0,0.0,131761
102,0,0.0,119629
103,0,1.0,17
104,0,1.0,2208
105,0,1.0,122410
106,0,0.0,17
107,0,1.0,1757
108,0,0.0,103833
109,0,1.0,123480
110,0,0.0,113199
111,0,1.0,2222
112,0,1.0,17
113,0,0.0,106095
114,0,1.0,1740
115,0,0.0,98387
116,0,0.0,97876
117,0,0.0,125442
118,0,0.0,123934
119,0,1.0,1411
120,0,0.0,106356
121,0,0.0,108707
122,0,1.0,1193
123,0,1.0,1637
124,0,1.0,711
125,0,0.0,72762
126,0,0.0,118075
127,0,0.0,91786
128,0,0.0,103103
129,0,0.0,105959
130,0,0.0,118454
131,0,0.0,17
132,0,1.0,1734
133,0,0.0,91186
134,0,1.0,1431
135,0,1.0,783
136,0,0.0,1214
137,0,1.0,660
138,0,0.0,1253
139,0,0.0,17
140,0,0.0,138449
141,0,1.0,762
142,0,0.0,93691
143,0,0.0,1527
144,0,0.0,95349
145,0,0.0,129887
146,0,1.0,1847
147,0,0.0,948
148,0,1.0,17
149,0,0.0,130400
150,0,1.0,1796
151,0,1.0,17
152,0,0.0,114072
153,0,1.0,17
154,0,1.0,1308
155,0,0.0,87132
156,0,1.0,17
157,0,0.0,151189
158,0,0.0,55742
159,0,1.0,906
160,0,0.0,1585
161,0,1.0,1000
162,0,0.0,87774
163,0,1.0,1350
164,0,0.0,159656
165,0,1.0,17
166,0,0.0,68168
167,0,0.0,17
168,0,0.0,1391
169,0,1.0,2043
170,0,0.0,145748
171,0,1.0,17
172,0,1.0,1713
173,0,1.0,118518
174,0,0.0,1084
175,0,1.0,1459
176,0,1.0,924
177,0,1.0,678
178,0,0.0,17
179,0,0.0,144149
180,0,0.0,141690
181,0,1.0,1037
182,0,0.0,123462
183,0,0.0,106749
184,0,1.0,907
185,0,0.0,17
186,0,0.0,1646
187,0,1.0,1648
188,0,0.0,145583
189,0,1.0,17
190,0,0.0,111314
191,0,0.0,149440
192,0,1.0,1430
193,0,0.0,984
194,0,1.0,1790
195,0,1.0,1428
196,0,0.0,99898
197,0,1.0,1274
