doc_id,empty_content,score,response_chars
0,0,1.0,559
1,0,0.0,255136
2,0,0.0,1224
3,0,1.0,17
4,0,1.0,2046
5,0,0.0,152373
6,0,1.0,1605
7,0,0.0,260789
8,0,1.0,17
9,0,0.0,256806
10,0,1.0,17
11,0,0.0,1765
12,0,0.0,223042
13,0,0.0,295457
14,0,1.0,904
15,0,0.0,197160
16,0,1.0,17
17,0,0.0,1317
18,0,0.0,237490
19,0,1.0,1004
20,0,0.0,208019
21,0,1.0,17
22,0,0.0,190461
23,0,0.0,243786
24,0,0.0,239915
25,0,0.0,225030
26,0,1.0,638
27,0,0.0,252654
28,0,1.0,2232
29,0,0.0,935
30,0,0.0,243315
31,0,0.0,173545
32,0,0.0,248679
33,0,0.0,235521
34,0,1.0,1199
35,0,1.0,721
36,0,0.0,242927
37,0,0.0,227719
38,0,1.0,1290
39,0,1.0,17
40,0,1.0,1035
41,0,1.0,755
42,0,0.0,17
43,0,1.0,17
44,0,1.0,210973
45,0,0.0,251447
46,0,0.0,186005
47,0,0.0,221417
48,0,0.0,185266
49,0,1.0,501
50,0,1.0,902
51,0,1.0,1788
52,0,0.0,835
53,0,0.0,221502
54,0,0.0,212858
55,0,0.0,236050
56,0,0.0,1874
57,0,1.0,321646
58,0,1.0,172234
59,0,0.0,168987
60,0,1.0,17
61,0,0.0,201279
62,0,0.0,148592
63,0,1.0,161069
64,0,0.0,261678
65,0,1.0,17
66,0,1.0,687
67,0,0.0,1586
68,0,0.0,154169
69,0,0.0,217018
70,0,0.0,1176
71,0,0.0,292517
72,0,1.0,1526
73,0,0.0,1019
74,0,1.0,17
75,0,0.0,260667
76,0,0.0,209104
77,0,1.0,1722
78,0,0.0,234463
79,0,0.0,142036
80,0,0.0,240589
81,0,0.0,135637
82,0,1.0,17
83,0,1.0,1213
84,0,1.0,1628
85,0,0.0,244823
86,0,1.0,1194
87,0,1.0,1343
88,0,0.0,253370
89,0,0.0,258553
90,0,0.0,271963
91,0,0.0,217334
92,0,0.0,281865
93,0,0.0,200099
94,0,0.0,260428
95,0,1.0,1566
96,0,1.0,894
97,0,0.0,191765
98,0,0.0,227146
99,0,1.0,259595
100,0,0.0,240791
101,0,1.0,280815
102,0,0.0,206707
103,0,1.0,227061
104,0,1.0,1940
105,0,1.0,243803
106,0,0.0,17
107,0,1.0,1880
108,0,0.0,243751
109,0,0.0,218378
110,0,0.0,226491
111,0,1.0,17
112,0,1.0,17
113,0,0.0,231777
114,0,0.0,1678
115,0,0.0,191843
116,0,0.0,202934
117,0,0.0,242198
118,0,0.0,198457
119,0,1.0,190855
120,0,0.0,213244
121,0,0.0,230486
122,0,1.0,971
123,0,1.0,1452
124,0,1.0,812
125,0,0.0,206868
126,0,0.0,172876
127,0,0.0,163720
128,0,0.0,196841
129,0,0.0,232549
130,0,0.0,257308
131,0,0.0,170961
132,0,1.0,1686
133,0,0.0,203170
134,0,1.0,1035
135,0,1.0,940
136,0,1.0,1138
137,0,1.0,640
138,0,0.0,231422
139,0,0.0,249157
140,0,1.0,1166
141,0,1.0,973
142,0,0.0,210696
143,0,1.0,1443
144,0,0.0,196313
145,0,0.0,254134
146,0,1.0,1534
147,0,0.0,177250
148,0,1.0,17
149,0,0.0,258791
150,0,1.0,1733
151,0,1.0,17
152,0,0.0,203417
153,0,0.0,235855
154,0,1.0,1331
155,0,0.0,181487
156,0,1.0,17
157,0,1.0,17
158,0,0.0,187643
159,0,0.0,1347
160,0,0.0,226976
161,0,1.0,739
162,0,0.0,168704
163,0,1.0,189043
164,0,0.0,17
165,0,1.0,17
166,0,0.0,140596
167,0,0.0,17
168,0,0.0,1219
169,0,0.0,1478
170,0,1.0,193544
171,0,1.0,17
172,0,1.0,1609
173,0,0.0,1604
174,0,0.0,1334
175,0,0.0,1817
176,0,0.0,294505
177,0,1.0,746
178,0,1.0,17
179,0,0.0,159683
180,0,0.0,223751
181,0,1.0,877
182,0,0.0,178751
183,0,0.0,213894
184,0,1.0,858
185,0,0.0,270227
186,0,0.0,1141
187,0,0.0,213280
188,0,1.0,17
189,0,0.0,278530
190,0,0.0,235154
191,0,0.0,1499
192,0,1.0,1140
193,0,1.0,1141
194,0,1.0,1978
195,0,1.0,1187
196,0,0.0,182936
197,0,0.0,1436
