doc_id,empty_content,score,response_chars
0,0,1.0,260
1,0,1.0,165
2,0,1.0,494
3,0,1.0,204
4,0,1.0,16
5,0,1.0,333
6,0,1.0,228
7,0,1.0,242
8,0,1.0,396
9,0,1.0,203
10,0,1.0,241
11,0,1.0,17
12,0,1.0,851
13,0,1.0,1070
14,0,1.0,16
15,0,1.0,302
16,0,1.0,217
17,0,1.0,351
18,0,1.0,202
19,1,0.0,0
20,0,1.0,16
21,0,1.0,179
22,1,0.0,0
23,0,1.0,136
24,0,1.0,16
25,0,1.0,465
26,0,1.0,17
27,0,1.0,205
28,0,1.0,16
29,0,1.0,17
30,0,1.0,17
31,0,1.0,269
32,0,1.0,167
33,0,1.0,259
34,0,1.0,209
35,0,1.0,255
36,0,1.0,619
37,0,1.0,371
38,0,1.0,424
39,0,1.0,687
40,0,1.0,186
41,0,1.0,393
42,0,1.0,221
43,0,1.0,16
44,0,1.0,268
45,0,1.0,380
46,0,1.0,256
47,0,1.0,299
48,0,1.0,167
49,0,1.0,321
50,0,1.0,285
51,0,1.0,189
52,0,1.0,258
53,0,1.0,193
54,0,1.0,185
55,0,1.0,180
56,0,1.0,165
57,0,1.0,428
58,0,1.0,344
59,0,1.0,17
60,0,1.0,140
61,0,1.0,178
62,0,1.0,19
63,0,1.0,18
64,0,1.0,309
65,0,1.0,504
66,0,1.0,266
67,1,0.0,0
68,0,1.0,262
69,0,1.0,230
70,0,1.0,460
71,0,1.0,163
72,0,1.0,164
73,0,1.0,298
74,0,1.0,296
75,0,1.0,238
76,0,1.0,399
77,0,1.0,17
78,0,1.0,535
79,0,1.0,182
80,0,1.0,246
81,0,1.0,230
82,0,1.0,205
83,0,1.0,17
84,0,1.0,289
85,0,1.0,201
86,1,0.0,0
87,0,0.0,19121
88,0,1.0,389
89,0,1.0,431
90,0,1.0,300
91,1,0.0,0
92,1,0.0,0
93,1,0.0,0
94,0,1.0,372
95,0,1.0,16
96,0,1.0,122
97,0,1.0,255
98,0,1.0,482
99,0,1.0,351
100,0,1.0,181
101,0,1.0,259
102,1,0.0,0
103,0,1.0,217
104,0,1.0,289
105,0,1.0,153
106,0,1.0,582
107,0,1.0,370
108,0,1.0,574
109,0,1.0,202
110,0,1.0,263
111,0,1.0,941
112,0,1.0,245
113,0,1.0,138
114,0,1.0,15
115,0,1.0,561
116,0,1.0,237
117,0,1.0,193
118,0,1.0,405
119,1,0.0,0
120,0,1.0,246
121,0,1.0,210
122,0,1.0,475
123,1,0.0,0
124,0,1.0,268
125,0,1.0,297
126,0,1.0,210
127,1,0.0,0
128,0,1.0,379
129,0,1.0,418
130,0,1.0,155
131,0,1.0,17
132,0,1.0,265
133,0,1.0,16
134,0,1.0,132
135,0,1.0,181
136,0,1.0,153
137,0,1.0,16
138,0,1.0,731
139,0,1.0,257
140,1,0.0,0
141,0,1.0,330
142,1,0.0,0
143,0,1.0,444
144,0,1.0,455
145,0,1.0,215
146,0,1.0,424
147,0,1.0,672
148,0,1.0,179
149,0,1.0,364
150,0,1.0,249
151,0,1.0,15
152,0,1.0,216
153,0,1.0,650
154,0,1.0,292
155,0,1.0,17
156,0,1.0,219
157,0,1.0,486
158,0,1.0,16
159,0,1.0,231
160,0,1.0,208
161,0,1.0,273
162,0,1.0,353
163,0,1.0,16
164,0,1.0,162
165,0,1.0,285
166,0,1.0,147
167,1,0.0,0
168,1,0.0,0
169,0,1.0,195
170,0,1.0,202
171,0,1.0,18
172,0,1.0,16
173,0,1.0,262
174,0,1.0,233
175,0,1.0,373
176,0,1.0,317
177,0,1.0,467
178,1,0.0,0
179,0,1.0,384
180,0,1.0,218
181,0,1.0,530
182,1,0.0,0
183,0,1.0,358
184,1,0.0,0
185,1,0.0,0
186,0,1.0,448
187,0,1.0,522
188,0,1.0,260
189,0,1.0,16
190,0,1.0,216
191,0,1.0,165
192,0,1.0,384
193,0,1.0,16
194,0,1.0,16
195,0,1.0,249
196,0,1.0,297
197,0,1.0,18
198,0,1.0,571
199,0,1.0,270
200,0,1.0,16
201,0,1.0,264
202,0,1.0,17
203,0,1.0,240
204,0,1.0,307
205,1,0.0,0
206,0,1.0,381
207,0,1.0,18
208,0,1.0,259
209,0,1.0,800
210,0,1.0,284
211,0,1.0,400
212,0,1.0,196
213,1,0.0,0
214,0,1.0,15
215,0,1.0,173
216,0,1.0,244
217,1,0.0,0
218,0,1.0,383
219,0,1.0,16
220,0,1.0,210
221,1,0.0,0
222,1,0.0,0
223,0,1.0,246
224,0,1.0,301
225,1,0.0,0
226,0,1.0,325
227,0,1.0,15
228,0,1.0,287
229,0,1.0,16
230,0,1.0,635
231,0,1.0,135
232,0,1.0,233
233,0,1.0,210
234,0,1.0,322
235,0,1.0,445
236,0,1.0,511
237,0,1.0,114
238,0,1.0,191
239,0,1.0,415
240,0,1.0,162
241,0,0.0,365
242,0,1.0,302
243,0,1.0,379
244,0,1.0,278
245,0,1.0,432
246,0,1.0,19
247,0,1.0,209
248,0,1.0,176
249,0,1.0,18
250,0,1.0,506
251,1,0.0,0
252,1,0.0,0
253,0,1.0,150
254,0,1.0,203
255,1,0.0,0
256,0,1.0,16
257,0,1.0,295
258,0,1.0,172
259,0,1.0,17
260,0,1.0,221
261,0,1.0,399
262,0,1.0,226
263,0,1.0,280
264,0,1.0,193
265,0,1.0,364
266,0,1.0,395
267,0,1.0,424
268,0,1.0,195
269,0,1.0,140
270,1,0.0,0
271,0,1.0,574
272,0,1.0,210
273,0,1.0,389
274,0,1.0,18
275,0,1.0,348
276,1,0.0,0
277,0,1.0,285
278,1,0.0,0
279,1,0.0,0
280,0,1.0,15
281,0,0.0,450
282,0,1.0,17
283,0,1.0,728
284,0,1.0,17
285,1,0.0,0
286,0,1.0,171
287,1,0.0,0
288,0,1.0,422
289,0,1.0,703
290,0,1.0,264
291,0,1.0,270
292,0,1.0,258
293,0,1.0,427
294,0,1.0,236
295,0,1.0,17
296,0,1.0,304
297,0,1.0,331
298,0,1.0,423
299,0,1.0,379
300,0,1.0,196
301,0,1.0,723
302,1,0.0,0
303,0,1.0,18
304,0,1.0,345
305,0,1.0,257
306,0,0.0,484
307,0,1.0,359
308,0,1.0,15
309,0,1.0,605
310,1,0.0,0
311,0,1.0,270
312,1,0.0,0
313,0,1.0,373
314,0,1.0,401
315,0,1.0,774
316,0,1.0,17
317,0,1.0,454
318,0,1.0,17
319,0,1.0,330
320,0,1.0,928
321,1,0.0,0
322,0,1.0,520
323,0,1.0,408
324,0,1.0,528
325,0,1.0,687
326,1,0.0,0
327,0,1.0,279
328,0,1.0,182
329,0,1.0,171
330,0,1.0,311
331,0,1.0,18
332,1,0.0,0
333,0,1.0,442
334,0,1.0,373
335,0,1.0,205
336,0,1.0,305
337,0,1.0,253
338,0,1.0,393
339,0,1.0,455
340,1,0.0,0
341,0,1.0,627
342,0,1.0,235
343,0,1.0,356
344,1,0.0,0
345,0,1.0,240
346,1,0.0,0
347,0,1.0,16
348,0,1.0,234
349,0,1.0,268
350,0,1.0,267
351,0,1.0,202
352,0,1.0,286
353,1,0.0,0
354,0,1.0,294
355,0,1.0,274
356,0,1.0,266
357,0,1.0,470
358,0,1.0,156
359,0,1.0,496
360,1,0.0,0
361,0,1.0,506
362,0,1.0,16
363,0,1.0,277
364,0,1.0,186
365,1,0.0,0
366,1,0.0,0
367,0,1.0,266
368,0,0.0,523
369,0,1.0,18
370,0,1.0,193
371,0,1.0,334
372,0,1.0,269
373,0,1.0,521
374,0,1.0,284
375,1,0.0,0
376,0,1.0,16
377,1,0.0,0
378,1,0.0,0
379,0,1.0,175
380,0,1.0,626
381,0,1.0,16
382,0,1.0,297
383,0,1.0,251
384,0,1.0,16
385,0,1.0,173
386,0,1.0,270
387,0,1.0,141
388,1,0.0,0
389,0,1.0,299
390,0,1.0,203
391,0,1.0,236
392,0,1.0,517
393,0,1.0,370
394,0,1.0,281
395,0,1.0,360
396,1,0.0,0
397,1,0.0,0
398,0,1.0,207
399,0,1.0,16
400,0,1.0,187
401,0,1.0,231
402,0,1.0,247
403,0,0.0,533
404,0,1.0,16
405,0,1.0,428
406,0,0.0,564
407,0,1.0,379
408,0,1.0,286
409,0,1.0,20
410,0,1.0,216
411,0,1.0,18
412,0,1.0,211
413,0,1.0,16
414,0,1.0,16
415,0,1.0,747
416,0,1.0,16
417,0,1.0,18
418,0,1.0,411
419,0,1.0,213
420,0,1.0,240
421,0,1.0,280
422,0,1.0,250
423,1,0.0,0
424,0,1.0,431
425,0,1.0,337
426,0,1.0,228
427,0,1.0,697
428,0,1.0,515
429,0,1.0,170
430,0,1.0,255
431,0,1.0,15
432,1,0.0,0
433,0,1.0,15
434,0,1.0,289
435,0,1.0,141
436,0,1.0,16
437,0,1.0,210
438,0,1.0,15
439,0,1.0,632
440,0,1.0,511
441,0,1.0,314
442,0,1.0,556
443,0,1.0,840
444,0,1.0,16
445,0,1.0,256
446,0,1.0,224
447,0,1.0,121
448,0,1.0,277
449,0,1.0,255
450,0,1.0,411
451,1,0.0,0
452,0,1.0,289
453,0,1.0,258
454,0,0.0,17
455,0,1.0,372
456,0,1.0,16
457,0,1.0,16
458,0,1.0,16
459,0,1.0,191
460,0,1.0,241
461,0,1.0,194
462,0,1.0,140
463,0,1.0,16
464,0,1.0,193
465,0,1.0,16
466,1,0.0,0
467,0,1.0,18
468,0,1.0,328
469,0,1.0,230
470,1,0.0,0
471,0,1.0,323
472,1,0.0,0
473,0,1.0,209
474,1,0.0,0
475,0,1.0,318
476,0,1.0,274
477,0,1.0,597
478,0,1.0,188
479,0,1.0,369
480,0,1.0,195
481,0,1.0,163
482,0,1.0,139
483,0,1.0,296
484,0,1.0,161
485,0,1.0,17
486,0,1.0,171
487,0,1.0,15
488,0,1.0,233
489,0,1.0,459
490,0,1.0,101
491,1,0.0,0
492,0,1.0,16
493,0,1.0,354
494,0,1.0,279
495,0,1.0,155
496,0,1.0,329
497,0,1.0,353
498,0,1.0,204
499,1,0.0,0
500,0,1.0,327
501,0,1.0,757
502,1,0.0,0
