doc_id,empty_content,score,response_chars
0,0,1.0,1911
1,0,1.0,1473
2,0,1.0,3022
3,0,1.0,1400
4,0,1.0,56
5,0,1.0,341
6,0,0.0,1666
7,0,0.0,2148
8,0,1.0,1114
9,0,1.0,3533
10,0,1.0,3377
11,0,1.0,1294
12,0,1.0,1744
13,0,1.0,1993
14,0,1.0,1414
15,0,1.0,1327
16,0,1.0,20
17,0,1.0,136
18,0,1.0,388
19,0,1.0,123
20,0,1.0,1207
21,0,1.0,335
22,0,1.0,853
23,0,0.0,418
24,0,1.0,3307
25,0,1.0,1440
26,0,1.0,639
27,0,1.0,159
28,0,1.0,361
29,0,1.0,442
30,0,1.0,579
31,0,1.0,2287
32,1,0.0,0
33,0,0.0,354
34,0,1.0,1648
35,0,1.0,141
36,0,1.0,2486
37,0,1.0,5945
38,0,1.0,626
39,0,1.0,1203
40,0,1.0,2847
41,0,1.0,854
42,0,0.0,941
43,0,1.0,2138
44,0,1.0,1746
45,0,1.0,45
46,0,1.0,1526
47,0,1.0,726
48,0,0.0,1944
49,0,1.0,4398
50,1,0.0,0
51,0,1.0,580
52,0,1.0,7235
53,0,1.0,570
54,0,1.0,4853
55,0,1.0,381
56,0,1.0,1241
57,0,1.0,318
58,0,1.0,2671
59,0,0.0,2100
60,0,1.0,212
61,0,1.0,4709
62,0,0.0,2719
63,0,1.0,2481
64,0,1.0,1341
65,0,1.0,2546
66,0,1.0,2766
67,1,0.0,0
68,0,1.0,502
69,0,1.0,2006
70,0,1.0,10963
71,0,1.0,3338
72,0,1.0,1804
73,0,1.0,1469
74,1,0.0,0
75,0,1.0,406
76,0,1.0,1134
77,0,1.0,2268
78,0,1.0,1714
79,0,1.0,756
80,0,0.0,707
81,0,1.0,358
82,0,1.0,381
83,0,0.0,2016
84,0,1.0,3518
85,0,1.0,1155
86,0,1.0,266
87,0,1.0,727
88,0,0.0,1079
89,0,0.0,1722
90,0,0.0,1859
91,0,1.0,59
92,0,1.0,727
93,0,1.0,239
94,0,0.0,4006
95,0,0.0,6984
96,0,1.0,12050
97,0,0.0,447
98,0,1.0,842
99,0,1.0,1030
100,0,1.0,3748
101,0,1.0,4510
102,0,0.0,602
103,0,1.0,2841
104,0,1.0,550
105,0,1.0,1166
106,0,1.0,292
107,1,0.0,0
108,0,1.0,392
109,0,1.0,722
110,0,1.0,5943
111,0,1.0,445
112,0,1.0,1329
113,0,1.0,1360
114,0,1.0,990
115,0,0.0,1131
116,0,1.0,604
117,0,1.0,1916
118,0,1.0,860
119,0,1.0,813
120,0,1.0,6293
121,0,1.0,1106
122,0,0.0,59
123,0,1.0,3012
124,0,0.0,1345
125,0,1.0,1979
126,0,1.0,2018
127,0,1.0,1247
128,0,1.0,2785
129,0,1.0,4524
130,0,1.0,3074
131,0,0.0,277
132,0,1.0,2767
133,0,0.0,3656
134,0,1.0,2423
135,0,1.0,1338
136,0,1.0,4750
137,0,1.0,3968
138,0,1.0,2487
139,0,1.0,2
140,0,1.0,342
141,0,1.0,5413
142,0,1.0,1504
143,0,1.0,1654
144,0,0.0,941
145,0,0.0,2690
146,0,1.0,7694
147,0,0.0,5544
148,0,0.0,2488
149,0,1.0,1509
150,0,1.0,363
151,0,1.0,3343
152,0,0.0,253
153,0,1.0,4428
154,0,1.0,944
155,0,1.0,1996
156,0,0.0,1635
157,0,0.0,25
158,0,1.0,1705
159,0,1.0,427
160,0,1.0,2519
161,0,0.0,3741
162,0,1.0,1621
163,1,0.0,0
164,0,1.0,210
165,0,1.0,1065
166,0,1.0,1013
167,0,0.0,4414
168,0,1.0,923
169,0,1.0,39352
170,0,1.0,5232
171,0,1.0,818
172,0,1.0,977
173,0,1.0,1306
174,0,1.0,525
175,0,1.0,672
176,0,1.0,979
177,0,1.0,913
178,0,1.0,3622
179,0,1.0,3881
180,0,0.0,508
181,0,1.0,1181
182,0,1.0,2328
183,0,0.0,2452
184,0,1.0,716
185,0,0.0,1022
186,0,1.0,375
187,0,1.0,108
188,0,0.0,8
189,0,1.0,1860
190,0,1.0,708
191,0,1.0,627
192,0,1.0,292
193,0,1.0,12821
194,0,1.0,828
195,0,1.0,877
196,0,1.0,1537
197,0,1.0,590
198,0,1.0,175
199,0,1.0,1944
200,0,1.0,3224
201,0,1.0,1458
202,0,1.0,576
203,0,1.0,381
204,0,0.0,1064
205,0,1.0,110
206,1,0.0,0
207,0,1.0,5443
208,0,0.0,477
209,0,1.0,1195
210,0,1.0,1307
211,0,1.0,1410
212,0,1.0,2354
213,1,0.0,0
214,0,1.0,486
215,0,0.0,467
216,0,1.0,893
217,0,0.0,598
218,0,1.0,4298
219,0,1.0,1049
220,0,0.0,3476
221,0,1.0,548
222,0,1.0,3210
223,0,0.0,290
224,0,1.0,43
225,0,1.0,655
226,0,1.0,23
227,0,1.0,2537
228,0,1.0,2724
229,0,1.0,1961
230,0,1.0,4097
231,0,1.0,1517
232,0,1.0,559
233,0,1.0,857
234,0,1.0,19
235,1,0.0,0
236,1,0.0,0
237,0,0.0,2733
238,0,1.0,3532
239,0,1.0,447
240,0,1.0,2369
241,0,1.0,2837
242,0,1.0,191
243,1,0.0,0
244,1,0.0,0
245,0,1.0,27
246,0,1.0,1611
247,1,0.0,0
248,0,1.0,1684
249,0,0.0,1139
250,1,0.0,0
251,0,0.0,1776
252,0,0.0,1006
253,0,1.0,3146
254,0,1.0,1341
255,0,1.0,418
256,0,1.0,1442
257,0,1.0,2687
258,0,1.0,372
259,0,1.0,3435
260,0,1.0,341
261,0,0.0,2130
262,0,1.0,2291
263,1,0.0,0
264,0,0.0,658
265,0,1.0,873
266,0,1.0,847
267,0,1.0,1358
268,0,1.0,821
269,0,1.0,310
270,0,1.0,1742
271,0,1.0,456
272,0,0.0,987
273,0,1.0,997
274,0,1.0,296
275,0,0.0,530
276,0,1.0,1004
277,0,1.0,479
278,0,1.0,1533
279,0,1.0,555
280,0,1.0,584
281,0,0.0,408
282,0,1.0,1395
283,0,1.0,2293
284,0,1.0,6175
285,0,1.0,855
286,0,0.0,977
287,0,1.0,594
288,0,1.0,1305
289,0,1.0,896
290,1,0.0,0
291,0,1.0,1908
292,0,1.0,86
293,0,1.0,1480
294,0,1.0,971
295,0,1.0,695
296,0,1.0,1383
297,0,0.0,523
298,0,1.0,3091
299,0,1.0,705
300,0,0.0,948
301,0,1.0,536
302,0,1.0,1630
303,1,0.0,0
304,0,1.0,1873
305,0,1.0,2896
306,0,1.0,222
307,0,1.0,339
308,0,1.0,161
309,0,1.0,2166
310,0,1.0,865
311,0,1.0,745
312,0,1.0,321
313,0,1.0,1154
314,0,0.0,2966
315,0,1.0,191
316,0,1.0,1235
317,1,0.0,0
318,0,1.0,296
319,0,0.0,864
320,1,0.0,0
321,0,0.0,1152
322,0,1.0,1258
323,0,1.0,2039
324,0,1.0,190
325,0,1.0,602
326,1,0.0,0
