doc_id,original_empty,replayed,finish_reason,completion_tokens,content_empty,score
0,0,0,,,0,1
1,0,0,,,0,1
2,0,0,,,0,1
3,0,0,,,0,1
4,0,0,,,0,1
5,0,0,,,0,1
6,0,0,,,0,1
7,0,0,,,0,0
8,1,1,length,65536,1,0
9,0,0,,,0,1
10,1,1,length,65536,1,0
11,0,0,,,0,1
12,1,1,length,65536,1,0
13,0,0,,,0,0
14,0,0,,,0,1
15,1,1,length,65536,1,0
16,0,0,,,0,1
17,0,0,,,0,0
18,1,1,length,65536,1,0
19,0,0,,,0,1
20,0,0,,,0,1
21,0,0,,,0,1
22,1,1,stop,52812,0,1
23,1,1,stop,8651,0,1
24,1,1,length,65536,1,0
25,0,0,,,0,1
26,0,0,,,0,1
27,1,1,length,65536,1,0
28,0,0,,,0,1
29,0,0,,,0,0
30,1,1,stop,22983,0,0
31,0,0,,,0,1
32,1,1,length,65536,1,0
33,0,0,,,0,1
34,0,0,,,0,1
35,0,0,,,0,1
36,1,1,stop,21046,0,1
37,1,1,length,65536,1,0
38,0,0,,,0,1
39,0,0,,,0,1
40,0,0,,,0,1
41,0,0,,,0,1
42,0,0,,,0,1
43,0,0,,,0,1
44,0,0,,,0,1
45,0,0,,,0,1
46,0,0,,,0,1
47,0,0,,,0,1
48,1,1,length,65536,1,0
49,0,0,,,0,1
50,0,0,,,0,1
51,0,0,,,0,1
52,0,0,,,0,1
53,0,0,,,0,1
54,0,0,,,0,1
55,0,0,,,0,1
56,0,0,,,0,1
57,0,0,,,0,1
58,0,0,,,0,1
59,0,0,,,0,1
60,0,0,,,0,1
61,1,1,stop,37587,0,1
62,0,0,,,0,1
63,0,0,,,0,1
64,1,1,length,65536,1,0
65,0,0,,,0,1
66,0,0,,,0,1
67,0,0,,,0,1
68,1,1,stop,12383,0,1
69,1,1,length,65536,1,0
70,0,0,,,0,1
71,1,1,length,65536,1,0
72,0,0,,,0,1
73,0,0,,,0,1
74,0,0,,,0,0
75,0,0,,,0,1
76,1,1,length,65536,1,0
77,0,0,,,0,1
78,1,1,length,65536,1,0
79,1,1,length,65536,1,0
80,1,1,stop,56825,0,1
81,1,1,length,65536,1,0
82,0,0,,,0,1
83,0,0,,,0,1
84,0,0,,,0,1
85,0,0,,,0,0
86,1,1,stop,2853,0,1
87,0,0,,,0,1
88,1,1,length,65536,1,0
89,1,1,stop,41020,0,1
90,1,1,length,65536,1,0
91,0,0,,,0,1
92,0,0,,,0,1
93,1,1,length,65536,1,0
94,1,1,stop,58060,0,1
95,0,0,,,0,1
96,0,0,,,0,1
97,1,1,length,65536,1,0
98,0,0,,,0,1
99,1,1,stop,17136,0,1
100,1,1,length,65536,1,0
101,0,0,,,0,1
102,1,1,length,65536,1,0
103,0,0,,,0,1
104,0,0,,,0,1
105,0,0,,,0,1
106,0,0,,,0,0
107,0,0,,,0,1
108,0,0,,,0,1
109,0,0,,,0,1
110,1,1,stop,61044,0,1
111,0,0,,,0,1
112,0,0,,,0,1
113,0,0,,,0,0
114,0,0,,,0,1
115,1,1,length,65536,1,0
116,0,0,,,0,1
117,1,1,stop,7650,0,1
118,1,1,length,65536,1,0
119,0,0,,,0,1
120,0,0,,,0,1
121,0,0,,,0,0
122,0,0,,,0,1
123,0,0,,,0,1
124,0,0,,,0,1
125,0,0,,,0,1
126,1,1,length,65536,1,0
127,1,1,length,65536,1,0
128,0,0,,,0,1
129,0,0,,,0,1
130,1,1,stop,26849,0,0
131,1,1,stop,16697,0,1
132,0,0,,,0,1
133,0,0,,,0,1
134,0,0,,,0,1
135,0,0,,,0,1
136,0,0,,,0,1
137,0,0,,,0,1
138,1,1,stop,14036,0,0
139,0,0,,,0,1
140,1,1,stop,9347,0,1
141,0,0,,,0,1
142,1,1,stop,32701,0,0
143,0,0,,,0,1
144,0,0,,,0,1
145,1,1,length,65536,1,0
146,0,0,,,0,1
147,1,1,length,65536,1,0
148,0,0,,,0,1
149,0,0,,,0,1
150,0,0,,,0,1
151,0,0,,,0,1
152,0,0,,,0,1
153,0,0,,,0,1
154,0,0,,,0,1
155,1,1,stop,8313,0,1
156,0,0,,,0,1
157,0,0,,,0,0
158,0,0,,,0,0
159,0,0,,,0,1
160,0,0,,,0,0
161,0,0,,,0,1
162,0,0,,,0,0
163,0,0,,,0,1
164,0,0,,,0,0
165,0,0,,,0,1
166,0,0,,,0,1
167,0,0,,,0,0
168,0,0,,,0,1
169,0,0,,,0,1
170,1,1,stop,19756,0,1
171,0,0,,,0,0
172,0,0,,,0,1
173,0,0,,,0,1
174,0,0,,,0,1
175,0,0,,,0,1
176,0,0,,,0,1
177,0,0,,,0,1
178,0,0,,,0,1
179,1,1,stop,40194,0,1
180,1,1,stop,19555,0,1
181,0,0,,,0,1
182,1,1,length,65536,1,0
183,1,1,stop,20317,0,1
184,0,0,,,0,1
185,1,1,length,65536,1,0
186,1,1,stop,13214,0,0
187,0,0,,,0,1
188,0,0,,,0,1
189,0,0,,,0,1
190,1,1,stop,19229,0,1
191,0,0,,,0,1
192,0,0,,,0,1
193,0,0,,,0,1
194,0,0,,,0,1
195,0,0,,,0,1
196,0,0,,,0,1
197,0,0,,,0,1
