doc_id,empty_content,score,response_chars
0,0,1.0,19
1,0,1.0,19
2,0,1.0,19
3,0,1.0,19
4,0,1.0,19
5,0,1.0,19
6,0,1.0,19
7,0,0.0,19
8,1,0.0,0
9,0,1.0,19
10,1,0.0,0
11,0,1.0,19
12,1,0.0,0
13,0,0.0,19
14,0,1.0,19
15,1,0.0,0
16,0,1.0,19
17,0,0.0,19
18,1,0.0,0
19,0,1.0,19
20,0,1.0,19
21,0,1.0,19
22,1,0.0,0
23,1,0.0,0
24,1,0.0,0
25,0,1.0,19
26,0,1.0,19
27,1,0.0,0
28,0,1.0,1052
29,0,0.0,19
30,1,0.0,0
31,0,1.0,19
32,1,0.0,0
33,0,1.0,19
34,0,1.0,19
35,0,1.0,19
36,1,0.0,0
37,1,0.0,0
38,0,1.0,19
39,0,1.0,19
40,0,1.0,19
41,0,1.0,19
42,0,1.0,19
43,0,1.0,19
44,0,1.0,19
45,0,1.0,19
46,0,1.0,19
47,0,1.0,19
48,1,0.0,0
49,0,1.0,19
50,0,1.0,19
51,0,1.0,19
52,0,1.0,19
53,0,1.0,19
54,0,1.0,19
55,0,1.0,1217
56,0,1.0,19
57,0,1.0,19
58,0,1.0,19
59,0,1.0,1018
60,0,1.0,1069
61,1,0.0,0
62,0,1.0,668
63,0,1.0,19
64,1,0.0,0
65,0,1.0,19
66,0,1.0,19
67,0,1.0,19
68,1,0.0,0
69,1,0.0,0
70,0,1.0,19
71,1,0.0,0
72,0,1.0,19
73,0,1.0,19
74,0,0.0,19
75,0,1.0,19
76,1,0.0,0
77,0,1.0,19
78,1,0.0,0
79,1,0.0,0
80,1,0.0,0
81,1,0.0,0
82,0,1.0,19
83,0,1.0,19
84,0,1.0,19
85,0,0.0,19
86,1,0.0,0
87,0,1.0,19
88,1,0.0,0
89,1,0.0,0
90,1,0.0,0
91,0,1.0,19
92,0,1.0,19
93,1,0.0,0
94,1,0.0,0
95,0,1.0,19
96,0,1.0,19
97,1,0.0,0
98,0,1.0,19
99,1,0.0,0
100,1,0.0,0
101,0,1.0,19
102,1,0.0,0
103,0,1.0,19
104,0,1.0,19
105,0,1.0,19
106,0,0.0,19
107,0,1.0,792
108,0,1.0,19
109,0,1.0,1331
110,1,0.0,0
111,0,1.0,19
112,0,1.0,19
113,0,0.0,520
114,0,1.0,19
115,1,0.0,0
116,0,1.0,19
117,1,0.0,0
118,1,0.0,0
119,0,1.0,19
120,0,1.0,19
121,0,0.0,19
122,0,1.0,19
123,0,1.0,19
124,0,1.0,19
125,0,1.0,19
126,1,0.0,0
127,1,0.0,0
128,0,1.0,19
129,0,1.0,19
130,1,0.0,0
131,1,0.0,0
132,0,1.0,19
133,0,1.0,740
134,0,1.0,19
135,0,1.0,19
136,0,1.0,19
137,0,1.0,19
138,1,0.0,0
139,0,1.0,19
140,1,0.0,0
141,0,1.0,19
142,1,0.0,0
143,0,1.0,19
144,0,1.0,19
145,1,0.0,0
146,0,1.0,19
147,1,0.0,0
148,0,1.0,19
149,0,1.0,19
150,0,1.0,19
151,0,1.0,19
152,0,1.0,963
153,0,1.0,19
154,0,1.0,19
155,1,0.0,0
156,0,1.0,19
157,0,0.0,19
158,0,0.0,19
159,0,1.0,19
160,0,0.0,19
161,0,1.0,19
162,0,0.0,19
163,0,1.0,19
164,0,0.0,19
165,0,1.0,19
166,0,1.0,19
167,0,0.0,19
168,0,1.0,19
169,0,1.0,19
170,1,0.0,0
171,0,0.0,19
172,0,1.0,19
173,0,1.0,19
174,0,1.0,19
175,0,1.0,19
176,0,1.0,19
177,0,1.0,19
178,0,1.0,19
179,1,0.0,0
180,1,0.0,0
181,0,1.0,19
182,1,0.0,0
183,1,0.0,0
184,0,1.0,19
185,1,0.0,0
186,1,0.0,0
187,0,1.0,900
188,0,1.0,19
189,0,1.0,19
190,1,0.0,0
191,0,1.0,19
192,0,1.0,19
193,0,1.0,19
194,0,1.0,19
195,0,1.0,19
196,0,1.0,19
197,0,1.0,1689
