concurrency,num_prompts,engine_running_before,successful_requests,duration_s,request_throughput_rps,output_token_throughput_tps,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,mean_itl_ms
1,32,0.0,32,520.07,0.06,15.75,486.29,476.45,643.76,61.83,61.83,61.83
2,32,0.0,32,298.94,0.11,27.4,792.87,861.63,1146.81,70.15,70.45,70.15
4,32,0.0,32,181.53,0.18,45.13,1223.03,1349.78,1394.48,84.18,84.88,84.18
8,32,0.0,32,126.72,0.25,64.65,1981.7,1931.61,2582.3,116.35,116.16,116.35
16,48,0.0,48,128.78,0.37,95.42,3048.27,3136.06,4876.08,156.06,156.32,156.06
24,72,0.0,72,156.56,0.46,117.73,3702.1,3433.57,7176.85,189.55,188.32,189.55
32,96,0.0,96,179.27,0.54,137.09,4218.63,3502.9,9535.95,217.03,222.67,217.03
48,144,0.0,144,225.24,0.64,163.66,5179.99,3575.61,14382.39,272.84,269.8,272.84
64,192,0.0,192,266.74,0.72,184.27,6112.15,3850.96,19274.5,322.64,326.33,322.64
96,288,0.0,288,337.84,0.85,218.23,7933.49,4852.94,29626.02,406.79,412.58,406.79
128,384,0.0,384,401.73,0.96,244.7,9821.58,5017.44,39455.78,481.09,496.06,481.09
