doc_id,empty_content,score,response_chars
0,0,1.0,751
1,1,0.0,0
2,0,1.0,719
3,0,1.0,17
4,0,1.0,801
5,0,1.0,393
6,0,1.0,17
7,0,1.0,1051
8,0,0.0,770
9,0,1.0,866
10,0,1.0,17
11,0,1.0,17
12,0,1.0,747
13,0,1.0,17
14,0,1.0,628
15,1,0.0,0
16,0,1.0,717
17,0,0.0,1026
18,1,0.0,0
19,0,1.0,573
20,0,1.0,17
21,0,1.0,17
22,0,1.0,1238
23,1,0.0,0
24,1,0.0,0
25,0,1.0,891
26,0,1.0,17
27,0,1.0,644
28,0,1.0,1316
29,0,1.0,375
30,0,0.0,513
31,0,1.0,567
32,0,0.0,515
33,1,0.0,0
34,0,1.0,898
35,0,1.0,367
36,1,0.0,0
37,0,1.0,312
38,0,1.0,745
39,0,1.0,561
40,0,1.0,441
41,0,1.0,649
42,0,0.0,950
43,0,1.0,607
44,0,1.0,891
45,1,0.0,0
46,0,1.0,1314
47,1,0.0,0
48,1,0.0,0
49,0,1.0,560
50,0,1.0,752
51,0,1.0,824
52,0,1.0,534
53,0,0.0,500
54,0,1.0,607
55,1,0.0,0
56,0,1.0,794
57,0,0.0,17
58,0,1.0,17
59,0,1.0,662
60,0,1.0,17
61,1,0.0,0
62,0,1.0,773
63,0,1.0,941
64,0,0.0,390
65,0,1.0,658
66,1,0.0,0
67,0,1.0,720
68,1,0.0,0
69,1,0.0,0
70,0,1.0,617
71,0,0.0,457
72,0,1.0,752
73,0,1.0,832
74,0,1.0,743
75,0,1.0,1240
76,1,0.0,0
77,0,1.0,804
78,0,1.0,762
79,1,0.0,0
80,0,1.0,498
81,0,0.0,930
82,0,1.0,459
83,0,1.0,740
84,0,1.0,1011
85,0,0.0,488
86,0,1.0,703
87,0,1.0,815
88,1,0.0,0
89,1,0.0,0
90,0,0.0,892
91,0,1.0,1266
92,0,1.0,738
93,0,0.0,921
94,0,0.0,764
95,0,1.0,684
96,0,1.0,17
97,1,0.0,0
98,1,0.0,0
99,0,0.0,808
100,0,1.0,795
101,0,1.0,795
102,0,1.0,676
103,0,1.0,782
104,0,1.0,752
105,0,0.0,825
106,0,0.0,17
107,0,1.0,651
108,0,1.0,1223
109,1,0.0,0
110,0,1.0,1027
111,0,1.0,17
112,0,1.0,676
113,0,0.0,482
114,0,1.0,700
115,1,0.0,0
116,0,1.0,832
117,0,1.0,485
118,1,0.0,0
119,0,1.0,455
120,0,1.0,1015
121,1,0.0,0
122,0,1.0,662
123,0,1.0,619
124,0,1.0,864
125,0,1.0,17
126,0,1.0,516
127,1,0.0,0
128,1,0.0,0
129,0,1.0,581
130,1,0.0,0
131,1,0.0,0
132,0,1.0,899
133,0,1.0,794
134,0,1.0,711
135,0,1.0,897
136,0,1.0,1112
137,0,1.0,543
138,1,0.0,0
139,1,0.0,0
140,0,1.0,980
141,0,1.0,465
142,1,0.0,0
143,0,1.0,737
144,0,1.0,976
145,0,0.0,769
146,0,1.0,1187
147,1,0.0,0
148,0,1.0,613
149,1,0.0,0
150,0,1.0,1067
151,0,1.0,966
152,0,1.0,17
153,0,1.0,17
154,0,1.0,442
155,0,1.0,745
156,0,1.0,17
157,0,0.0,855
158,0,1.0,743
159,0,1.0,457
160,1,0.0,0
161,0,1.0,751
162,0,0.0,801
163,0,1.0,962
164,0,0.0,781
165,0,1.0,790
166,1,0.0,0
167,0,0.0,17
168,0,1.0,740
169,0,1.0,729
170,0,0.0,828
171,0,1.0,967
172,0,1.0,736
173,0,1.0,1143
174,0,0.0,602
175,0,1.0,17
176,0,1.0,730
177,0,1.0,644
178,0,1.0,875
179,0,1.0,1028
180,1,0.0,0
181,0,1.0,738
182,0,1.0,690
183,1,0.0,0
184,0,1.0,415
185,1,0.0,0
186,0,0.0,704
187,0,1.0,605
188,0,1.0,17
189,0,1.0,877
190,1,0.0,0
191,0,1.0,993
192,0,1.0,586
193,0,1.0,450
194,1,0.0,0
195,0,1.0,17
196,0,1.0,928
197,0,1.0,454
