doc_id,empty_content,score,response_chars
0,0,1.0,309
1,0,1.0,199
2,0,1.0,714
3,0,1.0,313
4,0,1.0,461
5,0,1.0,430
6,0,1.0,291
7,0,1.0,375
8,0,1.0,752
9,0,1.0,564
10,0,1.0,356
11,0,1.0,325
12,1,0.0,0
13,0,1.0,859
14,0,1.0,428
15,0,1.0,697
16,0,1.0,446
17,0,1.0,276
18,0,1.0,379
19,0,1.0,925
20,0,1.0,549
21,0,1.0,192
22,0,1.0,253
23,0,1.0,261
24,0,1.0,259
25,0,1.0,418
26,0,1.0,281
27,0,1.0,339
28,0,1.0,348
29,0,1.0,445
30,0,1.0,332
31,0,1.0,303
32,0,1.0,221
33,0,1.0,640
34,0,1.0,187
35,0,1.0,260
36,0,1.0,479
37,0,1.0,475
38,0,1.0,339
39,0,1.0,463
40,0,1.0,344
41,0,1.0,477
42,0,1.0,358
43,0,1.0,631
44,0,1.0,546
45,0,1.0,740
46,0,1.0,721
47,0,1.0,611
48,0,1.0,319
49,0,1.0,259
50,0,1.0,371
51,0,1.0,406
52,0,1.0,295
53,0,1.0,16
54,0,1.0,189
55,0,1.0,348
56,0,1.0,316
57,0,1.0,345
58,0,1.0,204
59,0,1.0,246
60,0,1.0,332
61,0,1.0,383
62,0,1.0,688
63,0,1.0,367
64,0,1.0,422
65,0,1.0,262
66,0,1.0,270
67,0,1.0,129
68,0,1.0,403
69,0,1.0,268
70,0,1.0,703
71,0,1.0,268
72,0,1.0,274
73,0,1.0,373
74,0,1.0,311
75,0,1.0,340
76,0,1.0,383
77,0,1.0,257
78,0,1.0,453
79,0,1.0,293
80,0,1.0,329
81,0,1.0,256
82,0,1.0,249
83,0,1.0,193
84,0,1.0,420
85,0,1.0,281
86,0,1.0,235
87,0,1.0,767
88,0,1.0,401
89,0,1.0,531
90,0,1.0,366
91,0,1.0,247
92,0,1.0,335
93,1,0.0,0
94,0,1.0,561
95,0,1.0,266
96,0,1.0,216
97,0,1.0,385
98,0,1.0,512
99,0,1.0,361
100,0,0.0,662
101,0,1.0,279
102,0,1.0,501
103,0,1.0,235
104,0,1.0,256
105,0,1.0,170
106,0,1.0,543
107,0,1.0,15
108,0,1.0,1086
109,0,1.0,366
110,0,1.0,303
111,0,1.0,560
112,0,1.0,675
113,0,1.0,209
114,0,1.0,334
115,0,1.0,608
116,0,1.0,233
117,0,1.0,385
118,0,1.0,551
119,1,0.0,0
120,0,1.0,417
121,0,1.0,408
122,0,1.0,395
123,0,1.0,476
124,0,1.0,311
125,0,1.0,437
126,0,1.0,208
127,0,1.0,189
128,0,1.0,314
129,0,1.0,461
130,0,1.0,259
131,0,1.0,205
132,0,1.0,294
133,0,1.0,347
134,0,1.0,145
135,0,1.0,253
136,0,1.0,290
137,0,1.0,363
138,0,1.0,352
139,0,1.0,501
140,0,1.0,215
141,0,1.0,760
142,0,1.0,386
143,0,1.0,492
144,0,1.0,487
145,0,1.0,518
146,0,1.0,312
147,1,0.0,0
148,0,1.0,238
149,0,1.0,193
150,0,1.0,15
151,0,1.0,359
152,0,1.0,413
153,0,1.0,16
154,0,1.0,292
155,0,1.0,17
156,0,1.0,310
157,0,1.0,585
158,0,1.0,243
159,0,1.0,306
160,0,1.0,203
