doc_id,empty_content,score,response_chars
0,0,1.0,2562
1,0,1.0,1167
2,0,1.0,1647
3,0,1.0,932
4,0,1.0,40
5,0,1.0,256
6,0,1.0,1307
7,1,0.0,0
8,0,1.0,373
9,1,0.0,0
10,0,1.0,4559
11,0,1.0,1004
12,0,1.0,1240
13,0,1.0,1722
14,0,1.0,1351
15,0,1.0,485
16,0,1.0,17
17,0,1.0,118
18,0,1.0,50
19,0,1.0,91
20,0,1.0,639
21,0,1.0,66
22,0,1.0,924
23,1,0.0,0
24,0,1.0,3438
25,0,1.0,769
26,0,1.0,561
27,0,1.0,156
28,0,1.0,192
29,0,1.0,437
30,0,1.0,513
31,1,0.0,0
32,0,1.0,85
33,0,0.0,82
34,0,1.0,1154
35,0,1.0,95
36,0,1.0,1139
37,1,0.0,0
38,0,1.0,636
39,1,0.0,0
40,1,0.0,0
41,0,1.0,330
42,0,1.0,428
43,0,1.0,1355
44,0,1.0,1474
45,0,1.0,21
46,0,1.0,628
47,0,1.0,682
48,0,1.0,3582
49,0,1.0,7505
50,0,1.0,39
51,0,1.0,508
52,0,1.0,4483
53,0,1.0,483
54,0,1.0,1836
55,0,1.0,394
56,0,1.0,1419
57,0,1.0,462
58,0,1.0,1427
59,1,0.0,0
60,0,1.0,149
61,0,0.0,1129
62,0,1.0,949
63,0,1.0,1970
64,0,0.0,735
65,0,1.0,977
66,0,1.0,1937
67,0,1.0,262
68,0,1.0,308
69,0,1.0,721
70,0,1.0,4711
71,0,1.0,1461
72,0,1.0,1259
73,0,1.0,2193
74,1,0.0,0
75,0,1.0,583
76,0,1.0,522
77,0,1.0,2461
78,0,1.0,1758
79,0,1.0,540
80,0,1.0,808
81,0,1.0,271
82,0,1.0,518
83,0,1.0,513
84,0,1.0,1053
85,0,1.0,622
86,0,1.0,129
87,0,1.0,282
88,0,1.0,4234
89,0,1.0,896
90,0,0.0,1495
91,0,1.0,74
92,0,1.0,769
93,0,1.0,156
94,0,1.0,7525
95,1,0.0,0
96,0,1.0,3150
97,0,1.0,367
98,0,1.0,714
99,0,0.0,365
100,0,1.0,2454
101,0,1.0,3191
102,0,1.0,170
103,0,1.0,5649
104,0,1.0,159
105,0,1.0,978
106,0,1.0,154
107,1,0.0,0
108,0,1.0,240
109,0,1.0,214
110,0,1.0,2290
111,0,1.0,602
112,1,0.0,0
113,0,1.0,1098
114,0,1.0,797
115,0,0.0,734
116,0,0.0,619
117,0,1.0,1033
118,0,1.0,436
119,0,1.0,1739
120,1,0.0,0
121,0,1.0,1074
122,0,1.0,55
123,0,1.0,1803
124,0,1.0,1095
125,0,0.0,809
126,0,1.0,1756
127,0,1.0,1250
128,0,1.0,1285
129,0,1.0,5012
130,1,0.0,0
131,0,1.0,38
132,0,1.0,2346
133,0,1.0,2544
134,0,1.0,957
135,0,1.0,811
136,0,1.0,4991
137,0,1.0,1613
138,0,1.0,1539
139,0,1.0,2
140,0,1.0,283
141,0,1.0,2922
142,0,1.0,1775
143,0,1.0,1003
144,0,1.0,559
145,0,1.0,1950
146,0,0.0,7770
147,1,0.0,0
148,0,1.0,802
149,0,1.0,1459
150,0,1.0,419
151,0,1.0,1668
152,0,1.0,111
153,1,0.0,0
154,0,1.0,633
155,0,1.0,2445
156,0,1.0,2076
157,0,1.0,22
158,0,1.0,1557
159,0,1.0,126
160,0,1.0,1883
161,1,0.0,0
162,1,0.0,0
163,0,1.0,234
164,0,1.0,212
165,0,1.0,813
166,0,1.0,228
167,0,0.0,7581
168,0,1.0,431
169,0,1.0,234
170,1,0.0,0
171,0,1.0,337
172,0,1.0,633
173,0,1.0,348
174,0,1.0,464
175,0,1.0,348
176,0,1.0,808
177,0,0.0,833
178,0,1.0,1266
179,0,1.0,3177
180,1,0.0,0
181,0,1.0,914
182,1,0.0,0
183,0,1.0,2073
184,0,1.0,525
185,0,1.0,150
186,0,1.0,1412
187,0,1.0,118
188,0,0.0,8
189,0,1.0,1090
190,0,1.0,473
191,0,1.0,574
192,0,1.0,191
193,1,0.0,0
194,0,0.0,411
195,0,1.0,848
196,0,1.0,1530
197,0,1.0,337
198,0,1.0,154
199,0,1.0,1579
200,0,1.0,6023
201,0,1.0,1426
202,0,1.0,340
203,0,1.0,90
204,0,1.0,680
205,0,1.0,122
206,0,1.0,129
207,0,1.0,5183
208,0,1.0,414
209,0,1.0,2005
210,0,1.0,1453
211,0,1.0,873
212,0,1.0,1263
213,0,1.0,975
214,0,1.0,341
215,0,0.0,140
216,0,1.0,552
217,0,1.0,80
218,0,1.0,3409
219,0,1.0,1189
220,0,1.0,950
221,0,1.0,526
222,1,0.0,0
223,0,1.0,243
224,0,1.0,41
225,0,1.0,70
226,1,0.0,0
227,0,1.0,4545
228,0,1.0,2075
229,0,1.0,1717
230,0,1.0,2844
231,0,1.0,282
232,0,1.0,385
233,0,1.0,466
234,0,1.0,19
235,1,0.0,0
236,1,0.0,0
237,1,0.0,0
238,0,1.0,1429
239,0,1.0,118
240,0,1.0,2367
241,0,1.0,3780
242,0,0.0,264
243,0,1.0,224
244,0,1.0,371
245,0,1.0,27
246,0,1.0,3433
247,0,1.0,102
248,0,1.0,714
249,0,1.0,328
250,0,1.0,427
251,1,0.0,0
252,0,1.0,97
253,0,1.0,1750
254,0,1.0,707
255,0,1.0,66
256,0,1.0,1436
257,0,1.0,1527
258,0,1.0,204
259,0,1.0,3163
260,0,1.0,135
261,0,1.0,1731
262,0,1.0,2489
263,0,1.0,971
264,0,1.0,409
265,0,1.0,874
266,0,1.0,182
267,0,1.0,1075
268,0,1.0,559
269,0,1.0,271
270,0,1.0,1775
271,0,1.0,171
272,0,1.0,281
273,0,1.0,908
274,0,1.0,197
275,0,1.0,270
276,0,1.0,848
277,0,1.0,560
278,0,1.0,192
279,0,1.0,373
280,0,1.0,647
281,0,1.0,193
282,0,1.0,1146
283,0,1.0,917
284,0,1.0,2122
285,0,1.0,717
286,0,1.0,943
287,0,1.0,645
288,0,1.0,695
289,0,1.0,1673
290,0,1.0,197
291,0,1.0,890
292,0,1.0,72
293,0,1.0,570
294,0,1.0,748
295,0,1.0,1076
296,1,0.0,0
297,0,1.0,457
298,0,1.0,2254
299,0,1.0,124
300,0,1.0,635
301,0,1.0,236
302,0,1.0,1610
303,0,1.0,349
304,0,1.0,1288
305,0,1.0,687
306,0,1.0,188
307,0,1.0,314
308,0,1.0,199
309,0,1.0,1071
310,0,1.0,588
311,0,1.0,476
312,0,1.0,471
313,0,1.0,865
314,0,1.0,3862
315,0,1.0,125
316,0,1.0,231
317,0,1.0,115
318,0,1.0,244
319,0,1.0,878
320,1,0.0,0
321,0,1.0,693
322,0,0.0,1813
323,0,1.0,1572
324,0,1.0,145
325,0,1.0,391
326,0,1.0,690
327,0,1.0,839
328,0,1.0,394
329,0,1.0,596
330,0,1.0,271
331,0,1.0,4064
332,0,1.0,4363
333,0,1.0,172
334,0,1.0,1511
335,0,1.0,2850
336,0,1.0,849
337,0,1.0,374
338,0,1.0,557
339,0,0.0,2295
340,0,1.0,576
341,0,1.0,105
342,0,1.0,1252
343,0,1.0,835
344,0,1.0,241
345,0,1.0,852
346,0,1.0,108
347,0,1.0,493
348,0,1.0,477
349,0,1.0,368
350,0,1.0,298
351,0,1.0,667
352,0,1.0,423
353,0,1.0,777
354,0,1.0,1627
355,0,1.0,410
356,0,1.0,352
357,0,1.0,4959
358,0,1.0,463
359,0,1.0,603
360,0,1.0,1975
361,0,1.0,1222
362,0,1.0,850
363,0,1.0,1499
364,0,1.0,479
365,0,1.0,667
366,1,0.0,0
367,0,1.0,1365
368,0,1.0,1242
369,0,1.0,2765
370,1,0.0,0
371,0,0.0,2039
372,0,0.0,1833
373,0,1.0,169
374,0,1.0,507
375,0,1.0,655
376,0,1.0,978
377,0,1.0,560
378,0,1.0,1430
379,0,1.0,193
380,0,1.0,971
381,0,1.0,1159
382,0,1.0,283
383,0,1.0,737
384,0,1.0,2073
385,1,0.0,0
386,0,1.0,460
387,0,1.0,894
388,0,1.0,481
389,0,1.0,344
390,0,1.0,398
391,1,0.0,0
392,0,1.0,344
393,1,0.0,0
394,0,1.0,270
395,0,0.0,1299
396,0,1.0,1287
397,0,1.0,1378
398,0,1.0,1261
399,1,0.0,0
400,1,0.0,0
401,0,1.0,1537
402,0,1.0,911
403,0,1.0,857
404,0,1.0,30
405,0,1.0,8265
406,0,1.0,4135
407,0,1.0,738
408,0,1.0,4734
409,0,1.0,634
410,0,1.0,2386
411,0,1.0,424
412,0,1.0,536
413,0,1.0,383
414,1,0.0,0
415,0,1.0,45
416,0,1.0,1235
417,0,1.0,107
418,0,1.0,1662
419,0,1.0,782
420,0,1.0,2037
421,0,1.0,265
422,0,1.0,1220
423,0,1.0,2699
424,0,1.0,388
425,0,1.0,1152
426,0,1.0,1154
427,0,1.0,587
428,0,1.0,362
429,0,1.0,1278
430,0,1.0,211
431,0,1.0,559
432,0,1.0,1181
433,0,1.0,981
434,0,1.0,2019
435,0,1.0,300
436,0,1.0,792
437,0,1.0,429
438,0,1.0,364
439,0,1.0,2872
440,0,1.0,281
441,0,1.0,63
442,0,1.0,3057
443,0,1.0,488
444,1,0.0,0
445,0,1.0,5196
446,0,1.0,135
447,0,0.0,43
448,0,1.0,599
449,0,1.0,680
450,0,1.0,675
451,0,1.0,237
452,0,1.0,603
453,0,0.0,398
454,0,1.0,4059
455,0,0.0,728
456,0,1.0,85
457,0,1.0,1564
458,0,1.0,505
459,0,1.0,94
460,0,1.0,1495
461,1,0.0,0
462,0,1.0,82
463,0,0.0,578
464,0,1.0,657
465,0,1.0,1278
466,0,1.0,14001
467,0,1.0,377
468,1,0.0,0
469,0,1.0,2514
470,0,1.0,1245
471,0,1.0,5018
472,0,1.0,37
473,0,1.0,307
474,0,1.0,1211
475,0,1.0,1734
476,1,0.0,0
477,0,1.0,122
478,0,1.0,181
479,0,1.0,4780
480,0,1.0,98
481,0,1.0,970
482,0,1.0,364
483,0,1.0,851
484,0,1.0,1429
485,1,0.0,0
486,0,1.0,379
487,0,0.0,1795
488,0,1.0,1265
489,0,1.0,7023
490,0,1.0,710
491,0,1.0,78
492,0,1.0,1554
493,0,1.0,83
494,0,1.0,644
495,1,0.0,0
