item_id,score,response_chars,empty_content,disposition,finish_reason
0,1.0,251,0,correct,stop
1,1.0,185,0,correct,stop
2,1.0,665,0,correct,stop
3,1.0,304,0,correct,stop
4,1.0,421,0,correct,stop
5,1.0,475,0,correct,stop
6,1.0,336,0,correct,stop
7,0.0,586,0,wrong,stop
8,1.0,597,0,correct,stop
9,1.0,552,0,correct,stop
10,1.0,431,0,correct,stop
11,1.0,418,0,correct,stop
12,0.0,683,0,wrong,stop
13,1.0,690,0,correct,stop
14,1.0,558,0,correct,stop
15,1.0,570,0,correct,stop
16,1.0,279,0,correct,stop
17,1.0,509,0,correct,stop
18,1.0,259,0,correct,stop
19,0.0,757,0,wrong,stop
20,1.0,685,0,correct,stop
21,1.0,399,0,correct,stop
22,1.0,263,0,correct,stop
23,1.0,275,0,correct,stop
24,1.0,352,0,correct,stop
25,1.0,500,0,correct,stop
26,1.0,396,0,correct,stop
27,1.0,269,0,correct,stop
28,1.0,406,0,correct,stop
29,1.0,516,0,correct,stop
30,1.0,385,0,correct,stop
31,1.0,327,0,correct,stop
32,1.0,277,0,correct,stop
33,1.0,513,0,correct,stop
34,1.0,409,0,correct,stop
35,1.0,375,0,correct,stop
36,1.0,276,0,correct,stop
37,1.0,649,0,correct,stop
38,1.0,319,0,correct,stop
39,1.0,780,0,correct,stop
40,0.0,346,0,wrong,stop
41,1.0,653,0,correct,stop
42,1.0,315,0,correct,stop
43,1.0,418,0,correct,stop
44,1.0,599,0,correct,stop
45,1.0,516,0,correct,stop
46,1.0,485,0,correct,stop
47,1.0,635,0,correct,stop
48,1.0,376,0,correct,stop
49,1.0,407,0,correct,stop
50,1.0,351,0,correct,stop
51,1.0,304,0,correct,stop
52,1.0,503,0,correct,stop
53,1.0,436,0,correct,stop
54,1.0,458,0,correct,stop
55,1.0,164,0,correct,stop
56,1.0,187,0,correct,stop
57,1.0,499,0,correct,stop
58,0.0,236,0,wrong,stop
59,1.0,341,0,correct,stop
60,1.0,355,0,correct,stop
61,0.0,334,0,wrong,stop
62,0.0,599,0,wrong,stop
63,1.0,513,0,correct,stop
64,1.0,434,0,correct,stop
65,1.0,452,0,correct,stop
66,1.0,718,0,correct,stop
67,1.0,424,0,correct,stop
68,1.0,363,0,correct,stop
69,1.0,206,0,correct,stop
70,1.0,533,0,correct,stop
71,1.0,361,0,correct,stop
72,1.0,424,0,correct,stop
73,0.0,477,0,wrong,stop
74,1.0,456,0,correct,stop
75,0.0,536,0,wrong,stop
76,1.0,403,0,correct,stop
77,1.0,629,0,correct,stop
78,0.0,460,0,wrong,stop
79,1.0,251,0,correct,stop
80,1.0,416,0,correct,stop
81,1.0,325,0,correct,stop
82,1.0,320,0,correct,stop
83,1.0,257,0,correct,stop
84,1.0,708,0,correct,stop
85,1.0,495,0,correct,stop
86,1.0,371,0,correct,stop
87,0.0,705,0,wrong,stop
88,1.0,435,0,correct,stop
89,1.0,276,0,correct,stop
90,1.0,359,0,correct,stop
91,1.0,403,0,correct,stop
92,1.0,692,0,correct,stop
93,1.0,754,0,correct,stop
94,1.0,563,0,correct,stop
95,1.0,313,0,correct,stop
96,1.0,235,0,correct,stop
97,0.0,583,0,wrong,stop
98,1.0,592,0,correct,stop
99,1.0,657,0,correct,stop
100,0.0,0,1,budget,length
101,1.0,409,0,correct,stop
102,1.0,588,0,correct,stop
103,1.0,397,0,correct,stop
104,1.0,477,0,correct,stop
105,1.0,251,0,correct,stop
106,1.0,463,0,correct,stop
107,1.0,659,0,correct,stop
108,1.0,743,0,correct,stop
109,0.0,494,0,wrong,stop
110,1.0,541,0,correct,stop
