doc_id,empty_content,score,response_chars
0,0,1.0,1605
1,0,1.0,1205
2,0,1.0,1542
3,0,1.0,3186
4,0,1.0,2632
5,0,1.0,1864
6,0,1.0,1425
7,0,1.0,1521
8,1,0.0,0
9,0,1.0,1961
10,0,1.0,2808
11,0,1.0,1937
12,0,1.0,2547
13,0,0.0,1654
14,0,1.0,1765
15,0,1.0,2574
16,0,1.0,2046
17,0,0.0,1873
18,0,1.0,2007
19,0,1.0,2847
20,0,1.0,3227
21,0,1.0,1283
22,0,1.0,2380
23,0,1.0,1910
24,0,1.0,2156
25,0,1.0,2384
26,0,1.0,1864
27,0,1.0,2284
28,0,1.0,2181
29,0,1.0,1403
30,0,0.0,3584
31,1,0.0,0
32,1,0.0,0
33,0,1.0,2219
34,0,1.0,1956
35,0,1.0,2052
36,0,1.0,2013
37,0,1.0,2147
38,0,1.0,1901
39,0,1.0,1920
40,0,1.0,1885
41,0,1.0,1641
42,0,1.0,2638
43,0,1.0,3083
44,0,1.0,2026
45,0,1.0,2989
46,0,1.0,2108
47,0,1.0,1708
48,0,1.0,1775
49,0,1.0,750
50,0,1.0,1748
51,0,1.0,2303
52,0,1.0,2193
53,0,1.0,2574
54,0,1.0,1745
55,0,1.0,2417
56,0,1.0,1675
57,0,1.0,1721
58,0,1.0,1667
59,0,1.0,1513
60,0,1.0,1892
61,0,1.0,2694
62,0,1.0,2040
63,0,1.0,1517
64,1,0.0,0
65,0,1.0,1742
66,0,1.0,2820
67,0,1.0,3152
68,0,1.0,1757
69,0,1.0,1886
70,0,1.0,1335
71,1,0.0,0
72,0,1.0,2171
73,0,1.0,1274
74,1,0.0,0
75,0,0.0,1645
76,1,0.0,0
77,0,1.0,2193
78,0,1.0,1917
79,0,0.0,1586
80,0,1.0,2156
81,1,0.0,0
82,0,1.0,1789
83,0,1.0,1853
84,0,1.0,1670
85,0,1.0,2626
86,0,1.0,2142
87,0,1.0,2440
88,0,0.0,1757
89,0,1.0,1689
90,0,0.0,2351
91,0,1.0,1872
92,0,1.0,1408
93,1,0.0,0
94,0,0.0,1576
95,0,1.0,1822
96,0,1.0,1924
97,1,0.0,0
98,0,1.0,2115
99,0,1.0,1818
100,0,1.0,2813
101,0,1.0,2890
102,0,0.0,2599
103,0,1.0,2417
104,0,1.0,1629
105,0,1.0,2528
106,0,0.0,3669
107,0,1.0,1968
108,0,1.0,2243
109,0,0.0,1462
110,0,1.0,1920
111,0,1.0,2065
112,0,1.0,2008
113,0,0.0,1397
114,0,1.0,1696
115,1,0.0,0
116,0,1.0,1653
117,0,1.0,3077
118,0,1.0,1962
119,0,1.0,1441
120,1,0.0,0
121,0,1.0,2748
122,0,1.0,1607
123,0,1.0,1742
124,0,1.0,1907
125,0,1.0,2483
126,0,0.0,1537
127,0,1.0,1933
128,0,1.0,2665
129,0,1.0,1591
130,0,0.0,1659
131,0,1.0,1957
132,0,1.0,1740
133,0,1.0,1539
134,0,1.0,2283
135,0,1.0,2725
136,0,1.0,1462
137,0,1.0,2327
138,0,1.0,1687
139,0,1.0,1592
140,0,1.0,2262
141,0,1.0,995
142,0,1.0,2152
143,1,0.0,0
144,0,1.0,1912
145,1,0.0,0
146,0,1.0,2118
147,0,0.0,2526
148,0,1.0,2791
149,0,1.0,2204
150,0,1.0,1871
151,0,1.0,3273
152,0,1.0,2022
153,0,1.0,2372
154,0,1.0,1279
155,0,1.0,2493
156,0,1.0,1979
157,0,0.0,3320
158,0,1.0,1540
159,0,1.0,1224
160,0,0.0,1523
161,0,1.0,1803
162,0,1.0,2481
163,0,1.0,1348
164,0,0.0,3304
165,0,1.0,3245
166,0,0.0,1708
167,0,0.0,1411
168,0,0.0,1855
169,0,1.0,2134
170,0,1.0,2035
171,0,0.0,1431
172,0,1.0,1449
173,0,1.0,1651
174,0,1.0,1850
175,0,1.0,2117
176,0,1.0,1996
177,0,1.0,2689
178,0,0.0,2587
179,0,1.0,2282
180,0,1.0,1874
181,0,1.0,2401
182,0,1.0,1533
183,0,1.0,2495
184,0,1.0,2798
185,1,0.0,0
186,0,1.0,1875
187,0,1.0,1518
188,0,1.0,2576
189,0,1.0,2398
190,0,1.0,1997
191,0,1.0,1586
192,0,1.0,1699
193,0,1.0,2385
194,0,1.0,2442
195,0,1.0,1772
196,0,1.0,1802
197,0,1.0,1508
