doc_id,empty_content,score,response_chars
0,1,0.0,0
1,1,0.0,0
2,0,1.0,1673
3,0,1.0,3406
4,0,1.0,2594
5,1,0.0,0
6,0,1.0,1651
7,0,1.0,2071
8,0,1.0,1769
9,0,1.0,2342
10,1,0.0,0
11,0,1.0,1549
12,0,1.0,1427
13,1,0.0,0
14,0,1.0,1605
15,0,1.0,1716
16,0,1.0,2093
17,0,0.0,1616
18,0,1.0,1862
19,0,1.0,2401
20,0,1.0,1842
21,0,1.0,1418
22,0,1.0,2041
23,0,1.0,1912
24,1,0.0,0
25,0,1.0,2059
26,0,1.0,2597
27,0,1.0,1522
28,1,0.0,0
29,1,0.0,0
30,0,0.0,3680
31,1,0.0,0
32,0,1.0,3194
33,0,1.0,2305
34,0,1.0,1833
35,0,1.0,1446
36,0,1.0,1906
37,0,1.0,2358
38,0,1.0,1999
39,0,1.0,1821
40,0,1.0,2128
41,0,1.0,1358
42,1,0.0,0
43,0,1.0,2853
44,1,0.0,0
45,0,1.0,1793
46,0,1.0,1944
47,1,0.0,0
48,0,1.0,1980
49,0,1.0,2082
50,0,1.0,1782
51,1,0.0,0
52,0,1.0,1653
53,1,0.0,0
54,0,1.0,2472
55,1,0.0,0
56,0,1.0,1697
57,0,1.0,2997
58,0,1.0,2607
59,1,0.0,0
60,0,1.0,2386
61,0,1.0,1704
62,0,1.0,1912
63,1,0.0,0
64,0,1.0,1833
65,0,1.0,1423
66,0,1.0,1575
67,0,1.0,1473
68,1,0.0,0
69,0,1.0,1702
70,0,1.0,2309
71,1,0.0,0
72,0,1.0,2281
73,0,1.0,2766
74,1,0.0,0
75,0,0.0,1601
76,0,0.0,3430
77,0,1.0,2106
78,0,1.0,1822
79,0,0.0,1955
80,0,1.0,1444
81,0,0.0,1826
82,0,1.0,1918
83,0,1.0,1938
84,0,1.0,1816
85,0,1.0,2393
86,0,1.0,2445
87,0,1.0,2317
88,0,0.0,1794
89,0,1.0,1726
90,0,0.0,3276
91,0,1.0,1891
92,0,1.0,3603
93,1,0.0,0
94,0,0.0,1967
95,0,1.0,1886
96,0,1.0,3140
97,1,0.0,0
98,0,1.0,1683
99,0,1.0,2045
100,0,1.0,2564
101,1,0.0,0
102,0,0.0,2357
103,0,1.0,1446
104,0,1.0,1950
105,0,1.0,2317
106,0,0.0,2618
107,0,1.0,2067
108,0,1.0,3097
109,0,1.0,1893
110,0,1.0,1981
111,0,1.0,2567
112,0,1.0,1995
113,0,0.0,2219
114,0,1.0,1845
115,1,0.0,0
116,0,1.0,1320
117,0,1.0,2191
118,0,0.0,1778
119,0,1.0,945
120,0,1.0,2270
121,1,0.0,0
122,0,1.0,1803
123,0,1.0,1650
124,0,1.0,1757
125,0,1.0,2183
126,1,0.0,0
127,1,0.0,0
128,0,1.0,2357
129,0,1.0,3116
130,0,1.0,2240
131,1,0.0,0
132,0,1.0,1865
133,0,1.0,2525
134,0,1.0,2604
135,0,1.0,3095
136,0,1.0,1266
137,0,1.0,3158
138,1,0.0,0
139,0,1.0,1946
140,1,0.0,0
141,0,1.0,2373
142,0,1.0,2113
143,1,0.0,0
144,0,1.0,1924
145,1,0.0,0
146,0,1.0,1666
147,1,0.0,0
148,0,1.0,2397
149,0,1.0,2105
150,0,1.0,2132
151,0,1.0,2803
152,1,0.0,0
153,0,1.0,1836
154,0,1.0,1656
155,0,1.0,2331
156,0,1.0,2060
157,0,0.0,3151
158,0,1.0,1950
159,0,1.0,1701
160,0,0.0,3235
161,0,1.0,1968
162,0,0.0,1949
163,0,1.0,1544
164,0,0.0,3301
165,0,1.0,2361
166,0,1.0,2111
167,0,0.0,2315
168,1,0.0,0
169,0,1.0,1884
170,0,1.0,2180
171,0,1.0,1616
172,0,1.0,1518
173,0,1.0,1787
174,0,1.0,2034
175,0,1.0,2378
176,0,1.0,1992
177,0,1.0,1944
178,1,0.0,0
179,0,1.0,1863
180,0,1.0,2175
181,0,1.0,2149
182,0,1.0,1825
183,0,1.0,2755
184,0,1.0,3285
185,0,0.0,2053
186,1,0.0,0
187,0,1.0,1333
188,0,1.0,2818
189,0,1.0,2009
190,0,1.0,2259
191,0,1.0,1282
192,0,1.0,1884
193,0,1.0,1456
194,0,1.0,1675
195,0,1.0,1742
196,0,1.0,2422
197,0,1.0,1681
