model,concurrency,num_prompts,completed,duration_s,out_tok_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,source
gpt-oss-120b,1,32,32,240.21,34.1,70.9,71.6,76.3,29.2,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
gpt-oss-120b,2,32,32,143.92,56.9,130.6,143.8,165.7,34.8,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
gpt-oss-120b,4,32,32,95.66,85.6,197.3,218.6,229.8,46.1,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
gpt-oss-120b,8,32,32,67.76,120.9,230.7,238.1,256.0,65.5,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
gpt-oss-120b,16,48,48,73.06,168.2,304.0,348.7,355.2,94.3,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
gpt-oss-120b,32,96,96,105.18,233.7,1132.4,631.2,3482.9,132.9,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
gpt-oss-120b,48,144,144,129.19,285.3,1446.9,557.9,4777.2,163.1,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
gpt-oss-120b,64,192,192,145.21,338.5,1358.8,623.9,5061.4,184.2,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
gpt-oss-120b,96,288,288,174.33,422.9,2395.6,862.1,9381.1,218.0,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
gpt-oss-120b,128,384,384,196.96,499.1,2130.7,960.9,9965.3,248.3,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
gpt-oss-120b,192,384,384,143.99,682.7,1035.0,1025.7,1339.7,277.9,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
gpt-oss-120b,256,384,384,138.67,708.9,1119.7,1487.8,1495.3,276.8,results/gpt-oss-120b/raw/throughput_sweep/throughput_sweep.csv
laguna-s-2.1-118b,1,,3.0,43.51,17.65,156.09,157.66,158.44,56.27,results/laguna-s-2.1-118b/raw/throughput_sweep/sweep.log
laguna-s-2.1-118b,2,,6.0,52.35,29.34,299.08,309.92,409.79,67.18,results/laguna-s-2.1-118b/raw/throughput_sweep/sweep.log
laguna-s-2.1-118b,4,,12.0,72.85,42.17,386.54,426.63,475.34,93.65,results/laguna-s-2.1-118b/raw/throughput_sweep/sweep.log
laguna-s-2.1-118b,8,,24.0,101.53,60.52,509.11,554.29,556.67,130.68,results/laguna-s-2.1-118b/raw/throughput_sweep/sweep.log
laguna-s-2.1-118b,16,,48.0,157.54,78.0,1545.28,906.75,3392.91,199.61,results/laguna-s-2.1-118b/raw/throughput_sweep/sweep.log
laguna-s-2.1-118b,32,,96.0,218.37,112.54,2369.61,1230.61,6189.93,275.36,results/laguna-s-2.1-118b/raw/throughput_sweep/sweep.log
laguna-s-2.1-118b,64,,192.0,296.74,165.64,3770.58,1358.97,10108.24,370.75,results/laguna-s-2.1-118b/raw/throughput_sweep/sweep.log
laguna-s-2.1-118b,128,,384.0,421.41,233.27,7570.1,3826.54,30366.85,514.39,results/laguna-s-2.1-118b/raw/throughput_sweep/sweep.log
laguna-s-2.1-118b,192,,576.0,569.83,258.77,28118.24,12591.89,154313.3,557.06,results/laguna-s-2.1-118b/raw/throughput_sweep/sweep_hi.log
laguna-s-2.1-118b,256,,768.0,738.19,266.34,78215.92,37194.9,171099.01,565.18,results/laguna-s-2.1-118b/raw/throughput_sweep/sweep_hi.log
nemotron-3-super-120b,1,32,32.0,537.06,15.25,447.14,448.01,455.41,64.06,results/nemotron-3-super-120b/raw/throughput_sweep/sweep.log
nemotron-3-super-120b,2,32,32.0,307.32,26.66,718.33,706.57,895.41,72.5,results/nemotron-3-super-120b/raw/throughput_sweep/sweep.log
nemotron-3-super-120b,4,32,32.0,194.51,42.12,1422.42,1404.95,1455.12,89.75,results/nemotron-3-super-120b/raw/throughput_sweep/sweep.log
nemotron-3-super-120b,8,32,32.0,131.56,62.27,2278.79,2387.67,2630.15,119.93,results/nemotron-3-super-120b/raw/throughput_sweep/sweep.log
nemotron-3-super-120b,16,48,48.0,141.89,86.6,3376.86,3217.62,5029.55,171.89,results/nemotron-3-super-120b/raw/throughput_sweep/sweep.log
nemotron-3-super-120b,24,72,72.0,165.6,111.3,4090.7,3657.21,7513.66,199.91,results/nemotron-3-super-120b/raw/throughput_sweep/sweep.log
nemotron-3-super-120b,32,96,96.0,222.5,110.45,9465.84,3703.42,27157.17,252.89,results/nemotron-3-super-120b/raw/throughput_sweep/sweep_hi.log
nemotron-3-super-120b,48,144,144.0,262.11,140.64,5697.76,3797.31,15113.2,318.85,results/nemotron-3-super-120b/raw/throughput_sweep/sweep_hi.log
nemotron-3-super-120b,64,192,192.0,314.67,156.2,6703.26,3891.05,20416.39,382.83,results/nemotron-3-super-120b/raw/throughput_sweep/sweep_hi.log
nemotron-3-super-120b,96,288,288.0,399.64,184.49,8720.48,5342.8,31719.68,484.14,results/nemotron-3-super-120b/raw/throughput_sweep/sweep_hi.log
nemotron-3-super-120b,128,384,384.0,517.72,189.88,14403.28,5585.27,123619.36,575.09,results/nemotron-3-super-120b/raw/throughput_sweep/sweep_hi.log
nemotron-3.5-lightning-30b,1,32,32.0,110.88,73.88,136.38,135.07,170.61,13.05,results/nemotron-3.5-lightning-30b/raw/throughput_sweep/sweep.log
nemotron-3.5-lightning-30b,2,32,32.0,70.44,116.3,273.07,259.48,469.16,16.19,results/nemotron-3.5-lightning-30b/raw/throughput_sweep/sweep.log
nemotron-3.5-lightning-30b,4,32,32.0,48.25,169.79,394.52,387.06,423.82,22.1,results/nemotron-3.5-lightning-30b/raw/throughput_sweep/sweep.log
nemotron-3.5-lightning-30b,8,32,32.0,34.98,234.19,637.43,669.02,746.36,31.77,results/nemotron-3.5-lightning-30b/raw/throughput_sweep/sweep.log
nemotron-3.5-lightning-30b,16,48,48.0,39.31,312.61,941.65,881.71,1416.09,47.6,results/nemotron-3.5-lightning-30b/raw/throughput_sweep/sweep.log
nemotron-3.5-lightning-30b,24,72,72.0,50.2,367.19,1136.64,996.14,2096.22,61.02,results/nemotron-3.5-lightning-30b/raw/throughput_sweep/sweep.log
nemotron-3.5-lightning-30b,32,96,96.0,58.7,418.68,1288.93,1011.86,2779.8,71.45,results/nemotron-3.5-lightning-30b/raw/throughput_sweep/sweep.log
nemotron-3.5-lightning-30b,48,144,144.0,73.33,502.74,1570.39,1038.73,4195.48,89.3,results/nemotron-3.5-lightning-30b/raw/throughput_sweep/sweep.log
nemotron-3.5-lightning-30b,64,192,192.0,87.83,559.64,1846.73,1070.78,5652.46,106.97,results/nemotron-3.5-lightning-30b/raw/throughput_sweep/sweep.log
nemotron-3.5-lightning-30b,96,288,288.0,113.59,649.07,2400.27,1465.78,8744.15,137.95,results/nemotron-3.5-lightning-30b/raw/throughput_sweep/sweep.log
nemotron-3.5-lightning-30b,128,384,384.0,136.72,719.03,2995.72,1546.67,11949.34,165.24,results/nemotron-3.5-lightning-30b/raw/throughput_sweep/sweep.log
ornith-35b,1,32,32.0,221.69,36.95,167.27,164.79,208.67,26.51,results/ornith-35b/raw/throughput_sweep/sweep.log
ornith-35b,2,32,32.0,121.4,67.48,277.08,277.41,325.51,28.66,results/ornith-35b/raw/throughput_sweep/sweep.log
ornith-35b,4,32,32.0,78.05,104.95,442.2,486.35,542.78,36.52,results/ornith-35b/raw/throughput_sweep/sweep.log
